S. No,User Question,First Touch Answer,Second Touch Answer,Conclusion
1.1,Can I use the app for free?,"Yes, ParentGeenee offers a free plan with limited features. You can also explore our premium plans for more advanced features",,
1.2,What are the different subscription plans?,Premium Plan Monthly Plan Rs.299/-  Yearly Plan Rs.2999/-  • Connect to 4 child devices • Set up 6 safe zones • Approve unlimited app request • Filter inappropriate content  • Receive location updates and tracking  Free Plan  • Connect to single child device • Set up single safe zone • Approve 2 wish request/week • Filter inappropriate content  • Receive location updates and tracking,,
1.3,I cannot find the ParentGeenee app in the Play Store,ParentGeenee is available for both Android and iOS devices. You can download it directly from the Google Play Store or Apple App Store. Link to download.,,
1.4,My child uses my phone can I add resitriction in my phone,"ParentGeenee works by setting up a parent and child account separately. At present, restrictions cannot be applied directly to the parent’s phone.",,
1.5,I cannot find the ParentGeenee app in the App Store.,ParentGeenee is available for both Android and iOS. You can download it from the Google Play Store or Apple App Store.,,
1.6,Am using android phone but unable to download the app,"Please ensure that your phone is connected to the internet and running a compatible version of Android. Also, search for ""ParentGeenee"" in the Google Play Store.",,
1.7,Am using android phone but unable to see in the app list,"Try restarting your phone and refreshing the Play Store. If it’s still not showing, check if your device meets the app’s compatibility requirements.",,
1.8,The app is not installing on my phone.,Please check your internet connection and ensure you have enough storage space. Restart your phone and try again.,,
1.9,I downloaded the app. What should I do next?,Open the app and select whether you are a Parent or Child. Follow the on-screen instructions to set up your account.,,
1.1,Can I change my plan later?,You can switch between plans at any time from Settings > Subscription. Changes will take effect immediately after confirmation.,,
1.11,Do I need to enable notifications?,"Yes, enabling notifications allows you to receive real-time alerts for location updates, app requests, and screen time breaches.",,
1.12,What platforms is ParentGeenee available on?,ParentGeenee is available on both the Apple App Store and Google Play Store. You can download it for iOS and Android devices to access its features for managing digital safety and parental controls. Let me know if you would like more details!,,
1.13,What are the different countries Parent Geenee App is available,"Thank you for your interest in Parent Geenee!  Our app is currently available in the USA, UK, and India, and we’re actively working to expand our services to more locations. We know how important this is to you, and we truly appreciate your patience as we grow!  ✨ Stay updated on our latest launches by following us on social media or visiting our website—we’d love to keep you in the loop! 😊  Let us know if there’s anything else we can do for you! 💜",,
1.14,How do I contact support?,"You can reach us at support@parentgeenee.com. Our support team is available around the clock, 24/7",,
1.15,Need a Call back,"You can reach us at support@parentgeenee.com. Our support team is available around the clock, 24/7",,
1.16,My issue is not solved,I am sorry to hear that your issue is still unresolved. Could you share a bit more about the problem? I will do my best to assist you further!,,
1.17,How parentgeenee works,"Step 1: Down the Parent Geenee app on your device and your child's device.   Step 2: Create a Safe Zone Let’s begin by setting up a Safe Zone to manage app access within a specific area:  1️⃣ Enter a valid address or use your current location. 2️⃣ Move the pin to the center of the building for accuracy. 3️⃣ Choose between Satellite View or Map View for better visibility. 4️⃣ Name your Safe Zone and set a radius to ensure the entire location is covered. 5️⃣ Select the apps you want to block within this zone.  ✅ Your Safe Zone is now created!  Step 3: Pair Your Child’s Device  1️⃣ Select their role as a child 2️⃣ Scan the QR code displayed on your phone to pair their device with your account. 3️⃣ Enable the required permissions on your child’s device.  That’s it! 🎉 Now, whenever your child enters the Safe Zone, the selected apps will automatically be blocked, ensuring a focused and distraction-free environment.  Let us know if you need any help—we’re here for you! 😊💜""",,
1.18,How does ParentGeenee help with online safety?,"The Parent Geenee provides content filtering, screen time monitoring, app restrictions, location tracking, and alerts for cyber threats such as inappropriate content and cyberbullying.",,
2.1,I didn’t get the OTP. What should I do?/ I’m not receiving the OTP for verification.,"Hi,Pls check your spam folder if you had received an email with the subject """". Also pls check if you had provided the right email Id.",,
2.2,The OTP I received  is incorrect.,Can you please click on resend OTP and try with the new OTP.The OTP will be valid only for 5 mins.,,
2.3,Need to Unsubcribe premium version,You will be able to unsubscribe from the renewal plan for next term.,,
2.4,My purchase/subscription is not reflecting in the app.,Please logout and relogin and move to the subscription page and click on restore purchase. You should be able to see the plan reflected now.,,
2.5,How do I choose a subscription plan?,Click on the Hamburger Menu and goto Subscription tab. You should be able to select the plan and subscribe to it.,,
2.6,I purchased still not takiing me to home page,"Clear Cache and Cookies: Sometimes, stored data can cause issues. Clear your browser's cache and cookies, then try again.Check Login Credentials: Ensure you're using the correct email and password associated with your purchase.Update the App/Browser: If you're using the Parent Geenee app or a browser, make sure it's updated to the latest version.If the issue persists, reach out to Parent Geenee support at support@parentgeenee.com for assistance",,
